publishedTimeText,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths,cleaned_text
1 day ago,https://youtube.com/shorts/yH_tdJFNTKs?si=AzviDjP7vIFKrwAh,0,@Indian-l5x,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,Jaldi se 7 m krdo bhai apne sabi account se subscribe karo,0,@samcreations1395,FALSE,FALSE,FALSE,FALSE,,FALSE,,Jaldi se 7 m krdo bhai apne sabi account se subscribe karo
1 day ago,😅Raghu bhai,0,@kayumkhan9037,FALSE,FALSE,FALSE,FALSE,,FALSE,,:grinningfacewithsweat:Raghu bhai
1 day ago,:_Like:,0,@devanshubector,FALSE,FALSE,FALSE,FALSE,,TRUE,0,:Like:
1 day ago,Mast yar,0,@Jaiho-nx6xx,FALSE,FALSE,FALSE,FALSE,,FALSE,,Mast yar
1 day ago,1 mahine mei bhi nahi hoga 7 mil,0,@thenoble8270,FALSE,FALSE,FALSE,FALSE,,FALSE,,1 mahine mei bhi nahi hoga 7 mil
1 day ago,🎉🎉,0,@guptta,FALSE,FALSE,FALSE,FALSE,,TRUE,1,:partypopper::partypopper:
1 day ago,"Bhai subscribe kro jldi, Rakhi Sawant episode chahiye apne ko",0,@aryanmitttlll,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai subscribe kro jldi Rakhi Sawant episode chahiye apne ko
1 day ago,https://youtu.be/UnTE5bJcZQg?si=Utvx075mQG9pWQGL,0,@the_filmcult,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,41:48 game changer hai balraj bhaii #hackor😅,0,@Pharmaman007,FALSE,FALSE,FALSE,FALSE,,TRUE,1,41:48 game changer hai balraj bhaii hackor:grinningfacewithsweat:
1 day ago,:_Goodnight:,0,@devanshubector,FALSE,FALSE,FALSE,FALSE,,TRUE,0,:Goodnight:
1 day ago,Raghu ko phir se mat bulana kabhi bhi ... overacting....sirf gaali wo bhi jaan bujh kar bs ...ki show mein aaya h to bolni h bs .  Soooo cheap Raghu,0,@kalpanadeveshsharma9484,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu ko phir se mat bulana kabhi bhi overactingsirf gaali wo bhi jaan bujh kar bs ki show mein aaya h to bolni h bs Soooo cheap Raghu
1 day ago,https://youtu.be/rUgoNko6Phc,0,@dragooplays-j6p,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,Ya talka kyu hi hai is show m bor krra,0,@vipulkumar7763,FALSE,FALSE,FALSE,FALSE,,FALSE,,Ya talka kyu hi hai is show m bor krra
1 day ago,Crazy🎉,0,@Sahilkhan-xy5hu,FALSE,FALSE,FALSE,FALSE,,FALSE,,Crazy:partypopper:
1 day ago,Balrajs politeness made him famous,0,@peeyushbaba108,FALSE,FALSE,FALSE,FALSE,,FALSE,,Balrajs politeness made him famous
1 day ago,Woktok is not on blinkit,0,@baawaray_weddings,FALSE,FALSE,FALSE,FALSE,,FALSE,,Woktok is not on blinkit
1 day ago,"Din't understand , ""Do you like mountain?"" , joke ?",0,@RahulKumar-xl3dd,FALSE,FALSE,FALSE,FALSE,,FALSE,,Dint understand Do you like mountain joke
1 day ago,Tanmay is OG!,0,@shashwathsbharadwaj4841,FALSE,FALSE,FALSE,FALSE,,FALSE,,Tanmay is OG
1 day ago,0:02 0:02 0:02 0:02 0:02 0:02,0,@Lucifer-v9p,FALSE,FALSE,FALSE,FALSE,,TRUE,0,0:02 0:02 0:02 0:02 0:02 0:02
1 day ago,:_LoveYou:,0,@Lucifer-v9p,FALSE,FALSE,FALSE,FALSE,,TRUE,0,:LoveYou:
1 day ago,Raghu ko or bolao,0,@thelittlevibe4037,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu ko or bolao
1 day ago,kya matlab me kha hi raha hu wo noodles abhi,0,@rockyarora191,FALSE,FALSE,FALSE,FALSE,,FALSE,,kya matlab me kha hi raha hu wo noodles abhi
1 day ago,:_lol:,0,@majeet08,FALSE,FALSE,FALSE,FALSE,,TRUE,0,:lol:
1 day ago (edited),Bhai samay ki 7 million subscribers karao yar.. rakhi wala episode jaldi dekhni he,0,@hemantadas5842,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai samay ki 7 million subscribers karao yar rakhi wala episode jaldi dekhni he
1 day ago,"Samay... itna paisa kama liya, kam se kam table toh bada lele...",0,@pareshjoglekar0507,FALSE,FALSE,FALSE,FALSE,,FALSE,,Samay itna paisa kama liya kam se kam table toh bada lele
1 day ago,https://youtu.be/8bZxJAHZJqU?si=XN7VBB84BQQErAaG,0,@IMCTHIEFwaseemkhan,FALSE,FALSE,FALSE,FALSE,,TRUE,0,
1 day ago,Bhai bunti wali baaton ka mtlb skjha do Jo deepika ke baare me bola😭,0,@dheerajparihar3096,FALSE,FALSE,FALSE,FALSE,,FALSE,,Bhai bunti wali baaton ka mtlb skjha do Jo deepika ke baare me bola:loudlycryingface:
1 day ago,Iske 7 million jaldi karo rakhi savant ka video will be out😅,0,@tannushaikh6102,FALSE,FALSE,FALSE,FALSE,,FALSE,,Iske 7 million jaldi karo rakhi savant ka video will be out:grinningfacewithsweat:
1 day ago,https://youtube.com/shorts/FP1Mgnpf4vY?feature=share,0,@ShivKumar-ok2rr,FALSE,FALSE,FALSE,FALSE,,FALSE,,
1 day ago,idk why but tanmay is looking like karan johar lol XD,0,@BeastBattlesCombat,FALSE,FALSE,FALSE,FALSE,,FALSE,,idk why but tanmay is looking like karan johar lol XD
1 day ago,Maza hi aa geya end me,0,@baawaray_weddings,FALSE,FALSE,FALSE,FALSE,,FALSE,,Maza hi aa geya end me
1 day ago,:_ggg:,0,@sahilsamani6348,FALSE,FALSE,FALSE,FALSE,,TRUE,0,:ggg:
1 day ago,Balraj so nice guy,0,@ishan...063,FALSE,FALSE,FALSE,FALSE,,FALSE,,Balraj so nice guy
1 day ago,Raghu is best,0,@baawaray_weddings,FALSE,FALSE,FALSE,FALSE,,FALSE,,Raghu is best
1 day ago,"Samay jaldi UK aaja yaar, apni halat kharab karni hai hass hass k 😅",0,@KabirSingh-do8jp,FALSE,FALSE,FALSE,FALSE,,FALSE,,Samay jaldi UK aaja yaar apni halat kharab karni hai hass hass k :grinningfacewithsweat:
1 day ago,jaldi sub karo bhai,0,@InsaneMusic001,FALSE,FALSE,FALSE,FALSE,,TRUE,1,jaldi sub karo bhai
1 day ago,Samay bhi loyal to hai kapdo ko leke,0,@knowngamersff8272,FALSE,FALSE,FALSE,FALSE,,TRUE,0,Samay bhi loyal to hai kapdo ko leke
